longitude,latitude,depth,vsv,vp
-96.25,30.0,120.0,4.56267,8.16091
-96.0,30.0,120.0,4.57864,8.19035
-95.75,30.0,120.0,4.60683,8.24222
-95.5,30.0,120.0,4.63707,8.29714
-95.25,30.0,120.0,4.64121,8.30364
-95.0,30.0,120.0,4.64076,8.30015
-94.75,30.0,120.0,4.6262,8.27268
-94.5,30.0,120.0,4.61973,8.26068
-94.25,30.0,120.0,4.62413,8.26691
-94.0,30.0,120.0,4.62863,8.27296
-93.75,30.0,120.0,4.6251,8.26734
-93.5,30.0,120.0,4.61591,8.25307
-93.25,30.0,120.0,4.59073,8.21105
-93.0,30.0,120.0,4.44058,7.94379
-92.75,30.0,120.0,4.3885,7.8443
-92.5,30.0,120.0,4.38407,7.83417
-92.25,30.0,120.0,4.38495,7.85595
-92.0,30.0,120.0,4.42403,7.90439
-91.75,30.0,120.0,4.45118,7.95596
-91.5,30.0,120.0,4.45288,7.9647
-91.25,30.0,120.0,4.44875,7.96068
-91.0,30.0,120.0,4.44981,7.96413
-90.75,30.0,120.0,4.46465,7.99191
-90.5,30.0,120.0,4.47301,7.99579
-90.25,30.0,120.0,4.44608,7.93754
-90.0,30.0,120.0,4.44409,7.93211
-89.75,30.0,120.0,4.48021,8.02671
-89.5,30.0,120.0,4.50158,8.05681
-89.25,30.0,120.0,4.49028,8.03915
-85.75,30.0,120.0,4.53529,8.10474
-85.5,30.0,120.0,4.49838,8.03968
-85.25,30.0,120.0,4.48457,8.01565
-85.0,30.0,120.0,4.51944,8.07786
-84.75,30.0,120.0,4.59427,8.21104
-84.5,30.0,120.0,4.64095,8.31023
-84.25,30.0,120.0,4.61879,8.26784
-84.0,30.0,120.0,4.55594,8.15507
-83.75,30.0,120.0,4.50262,8.04953
-83.5,30.0,120.0,4.46678,7.98539
-83.25,30.0,120.0,4.43902,7.93601
-83.0,30.0,120.0,4.4303,7.92215
-82.75,30.0,120.0,4.43494,7.93013
-82.5,30.0,120.0,4.45531,7.96659
-82.25,30.0,120.0,4.47897,8.00995
-82.0,30.0,120.0,4.4965,8.0428
-81.75,30.0,120.0,4.51657,8.07945
-81.5,30.0,120.0,4.52739,8.09918
-81.25,30.0,120.0,4.5361,8.11502
-105.0,30.25,120.0,4.40106,7.87993
-104.5,30.25,120.0,4.37944,7.83397
-104.25,30.25,120.0,4.36869,7.81715
-104.0,30.25,120.0,4.38411,7.84424
-103.75,30.25,120.0,4.41213,7.89371
-103.5,30.25,120.0,4.43343,7.9317
-103.25,30.25,120.0,4.45564,7.96965
-103.0,30.25,120.0,4.45775,7.97364
-102.75,30.25,120.0,4.4528,7.96525
-102.5,30.25,120.0,4.43129,7.92681
-102.25,30.25,120.0,4.4215,7.90938
-102.0,30.25,120.0,4.44661,7.9545
-101.75,30.25,120.0,4.48835,8.02915
-101.5,30.25,120.0,4.51986,8.08515
-101.25,30.25,120.0,4.54236,8.12574
-101.0,30.25,120.0,4.54257,8.12685
-100.75,30.25,120.0,4.538,8.11845
-100.5,30.25,120.0,4.54317,8.12711
-100.25,30.25,120.0,4.55872,8.1551
-100.0,30.25,120.0,4.57513,8.1846
-99.75,30.25,120.0,4.57499,8.18451
-99.5,30.25,120.0,4.56517,8.16687
