longitude,latitude,depth,vsv,vp
-105.0,30.25,100.0,4.3468,7.77154
-104.5,30.25,100.0,4.32465,7.7416
-104.25,30.25,100.0,4.31285,7.70752
-104.0,30.25,100.0,4.32582,7.74719
-103.75,30.25,100.0,4.35142,7.79278
-103.5,30.25,100.0,4.37222,7.8303
-103.25,30.25,100.0,4.39855,7.873
-103.0,30.25,100.0,4.40569,7.88548
-102.75,30.25,100.0,4.40803,7.88988
-102.5,30.25,100.0,4.40452,7.88166
-102.25,30.25,100.0,4.40526,7.88193
-102.0,30.25,100.0,4.43794,7.93975
-101.75,30.25,100.0,4.47887,8.01301
-101.5,30.25,100.0,4.50754,8.06373
-101.25,30.25,100.0,4.53382,8.11059
-101.0,30.25,100.0,4.54403,8.12923
-100.75,30.25,100.0,4.54982,8.13786
-100.5,30.25,100.0,4.55908,8.15865
-100.25,30.25,100.0,4.56834,8.174
-100.0,30.25,100.0,4.57898,8.19213
