Network,Station,CoveredEpicentralDistances,UncoveredEpicentralDistances,EpiDistRatio,Accepted,faceLon,faceLat,AcceptedNumeric,nrec,BazRatio,AvgSNR
BK,BDM,25,36,0.409836065573771,No,-121.9,38.0,0,35,0.0803324099722992,14.2738942975381
BK,CVS,26,35,0.426229508196721,No,-122.5,38.3,0,41,0.0858725761772853,15.2770587120096
BK,FARB,20,41,0.327868852459016,No,-123.0,37.7,0,26,0.0637119113573407,12.6698380697128
BK,GASB,25,36,0.409836065573771,No,-122.7,39.7,0,37,0.0775623268698061,11.3794556901823
BK,HUMO,53,8,0.868852459016393,No,-123.0,42.6,0,275,0.235457063711911,14.3419021899427
BK,JCC,27,34,0.442622950819672,No,-124.0,40.8,0,30,0.07202216066482,12.0412793964117
BK,JRSC,20,41,0.327868852459016,No,-122.2,37.4,0,25,0.0554016620498615,14.0994747692518
BK,KCC,32,29,0.524590163934426,Yes,-119.3,37.3,1,70,0.121883656509695,14.773232069581
BK,MCCM,45,16,0.737704918032787,Yes,-122.9,38.1,1,117,0.18005540166205,12.3132699005668
BK,MNRC,33,28,0.540983606557377,No,-122.4,38.9,0,48,0.0969529085872576,13.0114342357182
BK,MOD,21,40,0.344262295081967,No,-120.3,41.9,0,36,0.07202216066482,15.0954495189384
BK,ORV,46,15,0.754098360655738,No,-121.5,39.6,0,94,0.152354570637119,15.4490916801187
BK,PACP,30,31,0.491803278688525,No,-121.3,37.0,0,43,0.0914127423822715,12.9695466760136
BK,PKD,33,28,0.540983606557377,No,-120.5,35.9,0,54,0.113573407202216,12.8943257268114
BK,POTR,3,58,0.0491803278688525,No,-121.9,38.2,0,4,0.0083102493074792,15.0890367276052
BK,WDC,53,8,0.868852459016393,No,-122.5,40.6,0,225,0.246537396121884,14.3720670594313
CC,ASBU,33,28,0.540983606557377,No,-121.4,43.8,0,53,0.105263157894737,14.2833626810304
CC,BRSP,1,60,0.0163934426229508,No,-121.7,45.4,0,1,0.002770083102493,6.7750011605876
CC,CARB,2,59,0.0327868852459016,No,-122.0,47.0,0,2,0.0055401662049861,7.41829284480165
CC,CIHL,31,30,0.508196721311475,No,-121.1,43.8,0,36,0.0775623268698061,13.6340825487041
CC,CLBH,4,57,0.0655737704918033,No,-122.1,42.9,0,4,0.0110803324099723,2.46160595834216
CC,CLCV,12,49,0.19672131147541,No,-122.1,43.0,0,14,0.03601108033241,8.43110325856023
CC,CPCO,37,24,0.60655737704918,No,-121.2,43.7,0,62,0.116343490304709,12.5656761299079
CC,CRBU,2,59,0.0327868852459016,No,-121.7,43.6,0,2,0.0055401662049861,2.99791271301709
